Created Coasty session: 7cac43a1-1eb0-4bf3-ad8a-29310cad9465
CoastyAgent reset.
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict API error (attempt 1/10): 429 Client Error: Too Many Requests for url: http://localhost:8001/api/osworld/predict
Predict returned 1 action(s)
Predict API error (attempt 1/10): 429 Client Error: Too Many Requests for url: http://localhost:8001/api/osworld/predict
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
Predict returned 1 action(s)
